iter	Passed	Remaining
406	6335	24799
407	6350	24777
408	6366	24766
409	6381	24747
410	6398	24738
411	6414	24723
412	6430	24708
413	6445	24693
414	6461	24679
415	6477	24663
416	6494	24653
417	6508	24632
418	6522	24611
419	6537	24592
420	6553	24577
421	6568	24560
422	6582	24541
423	6599	24531
424	6614	24512
425	6630	24496
426	6645	24482
427	6664	24476
428	6685	24483
429	6704	24477
430	6720	24465
431	6736	24449
432	6751	24432
433	6766	24415
434	6780	24394
435	6795	24377
436	6813	24368
437	6828	24352
438	6844	24337
439	6860	24322
440	6876	24309
441	6892	24296
442	6910	24288
443	6925	24271
444	6941	24255
445	6955	24235
446	6970	24218
447	6986	24204
448	7002	24187
449	7017	24171
450	7031	24151
451	7046	24133
452	7061	24115
453	7076	24096
454	7092	24084
455	7108	24070
456	7124	24053
457	7140	24040
458	7153	24017
459	7169	24003
460	7185	23988
461	7199	23968
462	7217	23958
463	7233	23945
464	7248	23927
465	7262	23908
466	7277	23890
467	7294	23877
468	7310	23865
469	7325	23846
470	7340	23830
471	7355	23813
472	7370	23794
473	7385	23776
474	7400	23758
475	7416	23746
476	7431	23727
477	7447	23712
478	7462	23696
479	7478	23682
480	7493	23663
481	7510	23652
482	7525	23636
483	7540	23619
484	7556	23605
485	7571	23587
486	7586	23570
487	7601	23550
488	7617	23539
489	7634	23526
490	7650	23510
491	7665	23496
492	7681	23479
493	7698	23468
494	7715	23457
495	7730	23441
496	7745	23423
497	7761	23408
498	7777	23394
499	7791	23375
500	7806	23357
501	7823	23346
502	7839	23330
503	7853	23312
504	7868	23294
505	7883	23277
506	7898	23259
507	7916	23251
508	7931	23232
509	7946	23216
510	7962	23201
511	7978	23188
512	7993	23171
513	8009	23156
514	8026	23144
515	8042	23130
516	8057	23113
517	8073	23099
518	8088	23081
519	8104	23066
520	8120	23051
521	8135	23036
522	8152	23023
523	8169	23012
524	8186	23001
525	8202	22987
526	8218	22971
527	8234	22955
528	8249	22938
529	8265	22925
530	8281	22910
531	8296	22894
532	8311	22875
533	8328	22865
534	8344	22850
535	8360	22835
536	8376	22820
537	8391	22804
538	8407	22788
539	8422	22771
540	8440	22761
541	8455	22746
542	8470	22728
543	8486	22713
544	8501	22697
545	8517	22681
546	8534	22669
547	8548	22650
548	8562	22631
549	8577	22614
550	8594	22600
551	8609	22584
552	8625	22568
553	8641	22554
554	8657	22540
555	8673	22526
556	8688	22508
557	8702	22489
558	8718	22475
559	8736	22465
560	8752	22449
561	8768	22435
562	8783	22418
563	8799	22404
564	8815	22390
565	8831	22375
566	8848	22362
567	8862	22344
568	8877	22327
569	8892	22309
570	8907	22293
571	8923	22278
572	8941	22268
573	8957	22252
574	8971	22234
575	8987	22219
576	9002	22202
577	9019	22189
578	9034	22171
579	9050	22158
580	9065	22141
581	9080	22124
582	9095	22105
583	9109	22088
584	9125	22072
585	9143	22062
586	9158	22045
587	9173	22028
588	9187	22009
589	9202	21992
590	9218	21976
591	9234	21961
592	9251	21950
593	9266	21934
594	9281	21915
595	9297	21901
596	9313	21886
597	9329	21872
598	9345	21858
599	9360	21840
600	9375	21824
601	9391	21808
602	9407	21794
603	9422	21778
604	9438	21762
605	9454	21748
606	9468	21729
607	9484	21714
608	9500	21699
609	9515	21681
610	9530	21665
611	9547	21654
612	9562	21637
613	9579	21623
614	9595	21608
615	9610	21591
616	9625	21576
617	9641	21560
618	9658	21548
619	9674	21533
620	9690	21518
621	9705	21501
622	9720	21485
623	9736	21470
624	9752	21455
625	9767	21439
626	9784	21425
627	9799	21410
628	9816	21396
629	9832	21380
630	9847	21363
631	9862	21349
632	9879	21335
633	9895	21319
634	9909	21301
635	9925	21286
636	9940	21269
637	9957	21257
638	9973	21242
639	9989	21227
640	10004	21209
641	10020	21195
642	10035	21178
643	10050	21162
644	10068	21151
645	10083	21133
646	10097	21114
647	10112	21098
648	10127	21082
649	10142	21065
650	10160	21053
651	10175	21037
652	10190	21019
653	10205	21003
654	10221	20989
655	10236	20971
656	10252	20958
657	10268	20943
658	10284	20928
659	10300	20913
660	10315	20895
661	10329	20877
662	10345	20862
663	10363	20851
664	10377	20833
665	10393	20818
666	10409	20802
667	10425	20787
668	10441	20772
669	10456	20756
670	10472	20742
671	10486	20723
672	10501	20706
673	10516	20689
674	10532	20674
675	10548	20659
676	10563	20642
677	10578	20627
678	10595	20613
679	10610	20597
680	10624	20578
681	10639	20561
682	10655	20545
683	10671	20530
684	10687	20516
685	10703	20501
686	10718	20486
687	10734	20469
688	10749	20453
689	10766	20439
690	10782	20425
691	10796	20407
692	10812	20392
693	10829	20378
694	10843	20361
695	10859	20346
696	10876	20333
697	10891	20316
698	10907	20301
699	10923	20287
700	10939	20272
701	10954	20254
702	10970	20240
703	10985	20223
704	11000	20206
705	11015	20190
706	11032	20177
707	11048	20161
708	11062	20144
709	11080	20132
710	11097	20118
711	11112	20102
712	11127	20086
713	11143	20071
714	11160	20057
715	11176	20042
716	11191	20026
717	11208	20012
718	11222	19993
719	11238	19978
720	11252	19961
721	11266	19943
722	11284	19930
723	11299	19913
724	11315	19899
725	11329	19881
726	11346	19867
727	11361	19852
728	11378	19838
729	11393	19821
730	11409	19806
731	11424	19789
732	11440	19775
733	11456	19759
734	11472	19744
735	11488	19730
736	11504	19714
737	11519	19698
738	11533	19680
739	11549	19664
740	11565	19649
741	11583	19638
742	11599	19624
743	11614	19606
744	11630	19591
745	11645	19575
746	11660	19558
747	11676	19543
748	11693	19530
749	11707	19512
750	11721	19493
751	11736	19477
752	11752	19462
753	11768	19447
754	11786	19435
755	11801	19418
756	11815	19400
757	11831	19386
758	11846	19369
759	11862	19354
760	11878	19339
761	11896	19327
762	11912	19312
763	11927	19296
764	11943	19280
765	11959	19265
766	11974	19249
767	11991	19235
768	12005	19218
769	12020	19201
770	12035	19185
771	12050	19168
772	12065	19151
773	12082	19139
774	12099	19124
775	12113	19107
776	12129	19091
777	12145	19076
778	12159	19059
779	12174	19042
780	12190	19027
781	12206	19012
782	12222	18996
783	12237	18981
784	12252	18964
785	12269	18949
786	12285	18935
787	12302	18921
788	12316	18903
789	12330	18886
790	12345	18868
791	12361	18853
792	12376	18837
793	12393	18824
794	12409	18809
795	12425	18793
796	12440	18778
797	12456	18762
798	12473	18748
799	12489	18733
800	12506	18720
801	12520	18703
802	12535	18686
803	12550	18669
804	12567	18655
805	12583	18640
806	12601	18628
807	12614	18610
808	12630	18594
809	12646	18579
810	12661	18563
811	12677	18547
812	12695	18535
813	12711	18520
814	12726	18504
815	12742	18489
816	12758	18474
817	12773	18456
818	12789	18442
819	12807	18430
820	12823	18414
821	12839	18399
822	12854	18384
823	12870	18368
824	12884	18350
825	12900	18334
826	12915	18319
827	12931	18304
828	12947	18289
829	12963	18274
830	12980	18259
831	12995	18244
832	13011	18228
833	13026	18212
834	13042	18197
835	13058	18181
836	13074	18166
837	13090	18151
838	13105	18135
839	13122	18121
840	13138	18106
841	13154	18091
842	13170	18075
843	13186	18060
844	13201	18045
845	13219	18032
846	13234	18015
847	13250	18000
848	13266	17986
849	13281	17969
850	13296	17952
851	13312	17937
852	13329	17923
853	13343	17905
854	13357	17888
855	13372	17872
856	13388	17856
857	13403	17840
858	13420	17826
859	13436	17811
860	13452	17795
861	13468	17780
862	13483	17764
863	13499	17748
864	13516	17736
865	13531	17719
866	13546	17702
867	13562	17687
868	13577	17670
869	13592	17654
870	13608	17639
871	13625	17625
872	13641	17610
873	13655	17593
874	13672	17578
875	13687	17562
876	13703	17547
877	13719	17532
878	13736	17517
879	13751	17502
880	13767	17487
881	13782	17470
882	13798	17455
883	13814	17439
884	13832	17427
885	13847	17411
886	13864	17396
887	13879	17380
888	13893	17363
889	13909	17347
890	13925	17332
891	13942	17318
892	13957	17302
893	13973	17287
894	13988	17270
895	14004	17255
896	14020	17240
897	14036	17225
898	14053	17210
899	14070	17197
900	14085	17181
901	14100	17164
902	14115	17148
903	14131	17132
904	14149	17119
905	14164	17104
906	14179	17087
907	14193	17070
908	14209	17054
909	14225	17039
910	14243	17026
911	14258	17010
912	14272	16992
913	14289	16978
914	14304	16962
915	14319	16946
916	14336	16931
917	14353	16917
918	14368	16901
919	14384	16886
920	14400	16871
921	14415	16854
922	14430	16838
923	14446	16823
924	14462	16807
925	14477	16790
926	14492	16774
927	14507	16758
928	14524	16744
929	14539	16728
930	14558	16716
931	14573	16700
932	14589	16684
933	14605	16669
934	14620	16653
935	14636	16638
936	14652	16623
937	14668	16607
938	14688	16597
939	14705	16582
940	14720	16566
941	14736	16551
942	14755	16538
943	14779	16533
944	14800	16523
945	14820	16512
946	14837	16498
947	14860	16491
948	14877	16476
949	14896	16464
950	14911	16448
951	14928	16433
952	14944	16418
953	14959	16402
954	14975	16386
955	14993	16373
956	15009	16357
957	15024	16341
958	15040	16326
959	15058	16313
960	15074	16297
961	15091	16283
962	15110	16271
963	15125	16255
964	15141	16240
965	15158	16225
966	15173	16209
967	15191	16195
968	15208	16182
969	15225	16167
970	15242	16153
971	15258	16138
972	15275	16123
973	15292	16108
974	15307	16092
975	15327	16081
976	15346	16069
977	15366	16057
978	15383	16043
979	15400	16029
980	15415	16012
981	15433	15998
982	15447	15982
983	15463	15966
984	15479	15951
985	15495	15935
986	15510	15919
987	15526	15903
988	15544	15889
989	15560	15875
990	15576	15859
991	15592	15844
992	15608	15828
993	15624	15812
994	15641	15799
995	15656	15782
996	15670	15765
997	15685	15748
998	15700	15732
999	15716	15716
1000	15732	15701
1001	15749	15686
1002	15764	15669
1003	15779	15653
1004	15795	15638
1005	15811	15623
1006	15826	15606
1007	15842	15591
1008	15859	15576
1009	15875	15561
1010	15890	15544
1011	15906	15529
1012	15920	15511
1013	15934	15494
1014	15951	15479
1015	15966	15463
1016	15982	15448
1017	15998	15432
1018	16014	15417
1019	16030	15401
1020	16047	15387
1021	16065	15373
1022	16080	15357
1023	16096	15342
1024	16112	15326
1025	16128	15310
1026	16144	15295
1027	16161	15280
